timestamp,host,level,message,Sentiment,Confidence,Keyword_cluster,cluster
2024-12-02 23:00:00,,ERROR,Disk usage is critically high: 11%. Threshold exceeded on volume /dev/sda1.,Negative,0.40970271825790405,server,0
2024-12-02 23:02:00,,INFO,CPU usage is 30%. Threshold not exceeded. System operating normally.,Neutral,0.4213261604309082,server,1
2024-12-02 23:04:00,,INFO,Disk usage is 92%. Disk space within acceptable limits.,Negative,0.3658626973628998,server,2
2024-12-02 23:12:00,,INFO,CPU usage is 16%. Threshold not exceeded. System operating normally.,Neutral,0.4055534899234772,server,1
2024-12-02 23:21:00,,INFO,Kafka operation completed successfully. Processed 1500 records in 2.35 seconds.,Positive,0.7099003195762634,unknown,3
2024-12-02 23:23:00,,ERROR,Kubernetes pod crash detected. Pod ID: kube_pod12345.,Negative,0.5957059860229492,unknown,4
2024-12-02 23:24:00,,INFO,Disk usage is 63%. Disk space within acceptable limits.,Negative,0.3309648633003235,server,2
2024-12-02 23:30:00,,INFO,Disk usage is 27%. Disk space within acceptable limits.,Negative,0.33584049344062805,server,2
2024-12-02 23:38:00,,ERROR,Lambda function execution failed in AWS. Error: Invalid parameters provided.,Negative,0.5555518865585327,aws,5
2024-12-02 23:47:00,,INFO,CPU usage is 36%. Threshold not exceeded. System operating normally.,Neutral,0.40644732117652893,server,1
2024-12-02 23:51:00,,INFO,Task 'task_data_validation' in DAG 'dag_sales_pipeline' completed successfully in 45 seconds.,Positive,0.4948080778121948,airflow,6
2024-12-02 23:58:00,,ERROR,Kubernetes pod crash detected. Pod ID: kube_pod12345.,Negative,0.5957059860229492,unknown,4
2024-12-03 00:04:00,,ERROR,Docker container failed to start for service Airflow. Error log: Container crashed on startup.,Negative,0.7636429667472839,unknown,7
2024-12-03 00:09:00,,ERROR,Task 'task_model_training' in DAG 'dag_data_ingestion' failed after 3 retries. Error: Data validation error in step 2.,Negative,0.4574546813964844,airflow,6
2024-12-03 00:15:00,,INFO,Lambda function executed successfully in AWS. Execution duration: 250ms.,Positive,0.5993630290031433,aws,8
2024-12-03 00:25:00,,INFO,PUT request to /healthcheck succeeded. Response code: 200 OK. Response size: 1.2MB.,Negative,0.2805105745792389,api,9
2024-12-03 00:29:00,,INFO,POST request to /api/v2/transactions succeeded. Response code: 200 OK. Response size: 1.2MB.,Neutral,0.2593095004558563,database,9
2024-12-03 01:00:00,,ERROR,Kubernetes pod crash detected. Pod ID: kube_pod12345.,Negative,0.5957059860229492,unknown,4
2024-12-03 01:01:00,,INFO,Lambda function executed successfully in AWS. Execution duration: 250ms.,Positive,0.5993630290031433,aws,8
2024-12-03 01:10:00,,INFO,Phone number 9988776655 was successfully added to the system.,Positive,0.5713627338409424,unknown,10
2024-12-03 01:12:00,,INFO,Lambda function executed successfully in AWS. Execution duration: 250ms.,Positive,0.5993630290031433,aws,8
2024-12-03 01:22:00,,INFO,Kubernetes operation completed successfully. Processed 1500 records in 2.35 seconds.,Positive,0.722551703453064,unknown,3
